all_ids,eye_category,eye_position,gaze_direction,heart_rates,p2p_intervals,sys_peaks,dys_peaks,engagement_labels,video_names
475,0,4,2,69.56521739,0.941666667,0.757107568,0.723185381,3,subject_86_gx92b5cbrm_vid_2_10.mp4
476,0,4,2,75.30909091,0.833333333,2.552160611,2.412435044,3,subject_86_gx92b5cbrm_vid_2_11.mp4
477,1,4,2,84.42959002,0.744444444,1.606215326,1.446635762,2,subject_86_gx92b5cbrm_vid_2_12.mp4
478,1,4,2,81.48420906,0.766666667,1.404330002,1.344857456,3,subject_86_gx92b5cbrm_vid_2_13.mp4
479,1,4,2,66.07435342,0.958333333,2.145378641,2.032999998,3,subject_86_gx92b5cbrm_vid_2_14.mp4
480,1,4,2,65.68847795,0.991666667,1.512959015,1.392383381,2,subject_86_gx92b5cbrm_vid_2_15.mp4
481,1,4,2,53.621986,1.133333333,2.310495891,2.193786969,3,subject_86_gx92b5cbrm_vid_2_16.mp4
482,1,4,2,71.60731537,0.86,1.284725233,1.176136544,2,subject_86_gx92b5cbrm_vid_2_17.mp4
483,0,4,2,67.20113852,0.92,1.645585506,1.559486058,2,subject_86_gx92b5cbrm_vid_2_18.mp4
484,1,4,2,58.5365464,1.05,2.638966842,2.443033122,2,subject_86_gx92b5cbrm_vid_2_19.mp4
485,1,4,2,74.35187166,0.833333333,1.971696478,1.786564128,2,subject_86_gx92b5cbrm_vid_2_2.mp4
486,1,4,2,49.71063419,1.244444444,1.611306173,1.509723273,2,subject_86_gx92b5cbrm_vid_2_20.mp4
487,0,4,2,82.63222285,0.733333333,3.024832776,2.811540702,1,subject_86_gx92b5cbrm_vid_2_21.mp4
488,0,4,2,84.76732371,0.76,1.561226953,1.483341846,2,subject_86_gx92b5cbrm_vid_2_22.mp4
489,0,4,2,76.15715863,0.846666667,1.217643783,1.083172271,2,subject_86_gx92b5cbrm_vid_2_23.mp4
490,0,4,2,59.24628645,1.083333333,0.842146248,0.764526078,3,subject_86_gx92b5cbrm_vid_2_24.mp4
491,0,4,2,64.9979097,0.941666667,2.468867621,2.378918284,3,subject_86_gx92b5cbrm_vid_2_25.mp4
492,0,4,2,73.83031156,0.873333333,1.301726184,1.191795077,3,subject_86_gx92b5cbrm_vid_2_26.mp4
493,0,4,2,75.61403509,0.846666667,1.015204293,0.91752668,1,subject_86_gx92b5cbrm_vid_2_27.mp4
494,0,4,2,87.99961861,0.688888889,1.077784027,0.915335685,2,subject_86_gx92b5cbrm_vid_2_28.mp4
495,1,4,2,69.32234432,0.893333333,1.894956813,1.749545814,2,subject_86_gx92b5cbrm_vid_2_29.mp4
496,1,4,2,57.0802005,1.075,1.18680523,1.12763264,2,subject_86_gx92b5cbrm_vid_2_3.mp4
497,0,4,2,75.88967611,0.82,0.685223133,0.62166411,3,subject_86_gx92b5cbrm_vid_2_30.mp4
499,1,4,2,78.17813765,0.826666667,2.609207873,2.443456892,2,subject_86_gx92b5cbrm_vid_2_4.mp4
500,0,4,2,60.08245877,1.058333333,1.253165556,1.164976521,3,subject_86_gx92b5cbrm_vid_2_5.mp4
501,1,4,2,79.01333544,0.793333333,1.198147238,1.13805623,2,subject_86_gx92b5cbrm_vid_2_6.mp4
502,0,4,2,73.81006362,0.86,0.994080406,0.954593348,3,subject_86_gx92b5cbrm_vid_2_7.mp4
503,0,4,2,74.87976012,0.826666667,1.073463706,0.990440934,2,subject_86_gx92b5cbrm_vid_2_8.mp4
504,1,4,2,62.06422381,1.0,1.902174164,1.857351426,3,subject_86_gx92b5cbrm_vid_2_9.mp4
208,1,4,2,76.68863604,0.806666667,0.587209006,0.506435374,1,subject_96_dh18u00dyu_vid_0_0.mp4
209,1,4,2,80.47619048,0.773333333,0.833743527,0.690214189,1,subject_96_dh18u00dyu_vid_0_1.mp4
210,1,4,2,66.28294314,0.94,0.469792008,0.436451118,3,subject_96_dh18u00dyu_vid_0_10.mp4
211,0,4,2,73.08074534,0.853333333,0.378050894,0.355095284,3,subject_96_dh18u00dyu_vid_0_11.mp4
212,0,4,2,70.23214286,0.958333333,0.441682008,0.392065307,3,subject_96_dh18u00dyu_vid_0_12.mp4
213,0,4,2,75.74448161,0.8,0.753587859,0.676958098,3,subject_96_dh18u00dyu_vid_0_13.mp4
214,0,4,2,70.77067669,0.9,0.548563757,0.517526287,3,subject_96_dh18u00dyu_vid_0_14.mp4
215,0,4,2,54.44553103,1.166666667,0.417224323,0.367447123,3,subject_96_dh18u00dyu_vid_0_15.mp4
216,0,4,2,71.78927739,0.84,0.641702036,0.56738031,3,subject_96_dh18u00dyu_vid_0_16.mp4
217,0,4,2,76.88688836,0.826666667,0.638681789,0.564443687,3,subject_96_dh18u00dyu_vid_0_17.mp4
218,1,4,2,80.49200075,0.753333333,0.72461375,0.687745109,3,subject_96_dh18u00dyu_vid_0_18.mp4
219,1,4,2,70.07559843,0.906666667,0.710262538,0.65746954,3,subject_96_dh18u00dyu_vid_0_19.mp4
220,0,4,2,64.76316461,1.0,0.523635476,0.491358511,3,subject_96_dh18u00dyu_vid_0_2.mp4
221,0,4,2,83.50649351,0.74,0.705059273,0.662151651,3,subject_96_dh18u00dyu_vid_0_20.mp4
222,0,4,2,78.71014493,0.777777778,0.750008658,0.668645456,3,subject_96_dh18u00dyu_vid_0_21.mp4
223,0,4,2,69.69470046,0.883333333,0.641031971,0.597290076,3,subject_96_dh18u00dyu_vid_0_22.mp4
224,1,4,2,62.76601555,1.025,0.661406502,0.591963108,3,subject_96_dh18u00dyu_vid_0_23.mp4
225,1,4,2,81.36363636,0.8,1.062409024,0.973472106,3,subject_96_dh18u00dyu_vid_0_24.mp4
226,1,4,2,71.32288401,0.88,0.740088377,0.670295559,3,subject_96_dh18u00dyu_vid_0_25.mp4
227,0,4,2,52.81596452,1.155555556,1.506079291,1.441734189,3,subject_96_dh18u00dyu_vid_0_26.mp4
228,0,4,2,63.10356978,1.008333333,0.817462569,0.778917514,3,subject_96_dh18u00dyu_vid_0_27.mp4
229,0,4,2,62.11922269,0.983333333,0.733981784,0.707023622,3,subject_96_dh18u00dyu_vid_0_28.mp4
230,0,4,2,75.01976285,0.841666667,1.071870714,1.007732476,2,subject_96_dh18u00dyu_vid_0_29.mp4
231,1,4,2,80.85714286,0.8,0.612397011,0.522372201,3,subject_96_dh18u00dyu_vid_0_3.mp4
232,1,4,2,72.23166109,0.833333333,0.916292794,0.860456032,3,subject_96_dh18u00dyu_vid_0_30.mp4
233,1,4,2,73.55141399,0.853333333,0.808484074,0.759227587,3,subject_96_dh18u00dyu_vid_0_31.mp4
234,0,4,2,62.5621118,1.091666667,0.532786731,0.485177159,3,subject_96_dh18u00dyu_vid_0_32.mp4
236,0,4,2,78.72472684,0.794444444,0.496621516,0.430980325,3,subject_96_dh18u00dyu_vid_0_4.mp4
237,0,4,2,78.98399846,0.786666667,0.778017439,0.720304019,3,subject_96_dh18u00dyu_vid_0_5.mp4
238,1,4,2,91.28571429,0.666666667,0.786950912,0.740062299,3,subject_96_dh18u00dyu_vid_0_6.mp4
239,1,4,2,75.79352227,0.833333333,0.741312894,0.674395354,3,subject_96_dh18u00dyu_vid_0_7.mp4
240,1,4,2,82.47014595,0.755555556,0.494569219,0.435600537,3,subject_96_dh18u00dyu_vid_0_8.mp4
241,0,4,2,66.5625,0.966666667,0.603562431,0.555660252,3,subject_96_dh18u00dyu_vid_0_9.mp4
242,0,4,2,66.77511962,1.033333333,0.743354782,0.680733694,3,subject_96_dh18u00dyu_vid_1_0.mp4
243,1,4,2,70.90909091,0.873333333,2.381554437,2.088349688,3,subject_96_dh18u00dyu_vid_1_1.mp4
244,0,4,2,67.55628882,0.933333333,0.457929491,0.420952279,3,subject_96_dh18u00dyu_vid_1_10.mp4
