frame,gaze_0_x,gaze_0_y,gaze_1_x,gaze_1_y,pose_Tx,pose_Ty,pose_Rx,pose_Ry
1,0.069019,0.098929,-0.023138,0.10451,-0.8,84.0,0.023,-0.042
2,0.072641,0.113444,-0.019577,0.067766,-1.0,83.8,0.017,-0.038
3,0.08161,0.099231,-0.019611,0.073589,-1.2,84.3,0.016,-0.047
4,0.067006,0.108673,-0.025776,0.078886,-1.3,83.9,0.019,-0.041
5,0.051537,0.084668,-0.026513,0.064416,-1.3,84.4,0.022,-0.048
6,0.057171,0.059191,-0.030126,0.086133,-1.1,84.2,0.02,-0.046
7,0.062811,0.062759,-0.016658,0.089462,-1.3,84.4,0.02,-0.05
8,0.047144,0.064448,-0.015103,0.082928,-1.2,84.5,0.018,-0.052
9,0.047135,0.086058,-0.019409,0.082374,-1.2,84.6,0.021,-0.05
10,0.042821,0.119745,-0.016935,0.06976,-1.2,84.3,0.018,-0.049
11,0.053702,0.118066,-0.048892,0.06887,-1.1,84.7,0.021,-0.05
12,0.067452,0.108114,-0.037124,0.062649,-1.1,84.7,0.021,-0.049
13,0.077606,0.130041,-0.051944,0.08947,-1.0,84.6,0.019,-0.049
14,0.082259,0.144744,-0.030779,0.075802,-0.8,84.6,0.018,-0.049
15,0.093674,0.121267,-0.031351,0.075515,-0.8,85.2,0.012,-0.05
16,0.063574,0.150618,-0.055462,0.082866,-0.6,84.9,0.022,-0.05
17,0.069346,0.106599,-0.044738,0.06435,-0.5,84.7,0.008,-0.049
18,0.051019,0.086766,-0.074196,0.090696,-0.2,85.0,0.02,-0.047
19,0.031984,0.114038,-0.076682,0.096847,0.1,84.6,0.017,-0.049
20,0.031163,0.089241,-0.062995,0.075974,0.2,85.2,0.019,-0.046
21,0.035211,0.099125,-0.0281,0.070736,0.3,85.1,0.016,-0.048
22,0.045048,0.080343,-0.062606,0.076352,0.3,84.8,0.017,-0.045
23,0.043162,0.061864,-0.05523,0.069691,0.5,84.9,0.019,-0.043
24,0.044548,0.084972,-0.078033,0.078872,0.6,85.0,0.022,-0.041
25,0.035432,0.079716,-0.043272,0.09097,0.4,85.4,0.02,-0.042
26,0.048997,0.069137,-0.08351,0.088372,0.4,85.3,0.019,-0.04
27,0.051619,0.074366,-0.056481,0.086852,0.3,85.2,0.017,-0.039
28,0.068873,0.087001,-0.071659,0.089491,0.3,85.2,0.016,-0.04
29,0.083654,0.071208,-0.079037,0.06522,1.7,85.3,0.013,-0.06
30,0.091784,0.082434,-0.078288,0.072543,4.5,84.6,0.023,-0.099
31,0.113642,0.125855,-0.048252,0.070491,7.8,83.7,0.018,-0.129
32,0.125064,0.204262,-0.000964,0.156036,10.6,84.8,0.043,-0.154
33,0.218559,0.238353,0.014566,0.172788,13.0,84.8,0.031,-0.18
34,0.240005,0.234798,-0.005917,0.194579,13.0,84.6,0.036,-0.171
35,0.193527,0.244494,0.000232,0.144309,10.7,85.4,0.04,-0.145
36,0.071478,0.211227,-0.020528,0.123372,7.7,85.0,0.033,-0.12
37,0.101336,0.124408,-0.048326,0.118818,4.1,85.1,0.038,-0.088
38,0.080445,0.091531,-0.055953,0.109517,1.4,84.7,0.028,-0.065
39,0.094091,0.070076,-0.019713,0.110559,-0.6,84.9,0.01,-0.047
40,0.089937,0.081214,-0.007691,0.082762,-1.3,84.4,0.001,-0.041
41,0.07246,0.095415,-0.032905,0.115471,-1.3,84.3,0.002,-0.043
42,0.048316,0.094998,-0.033773,0.082002,-0.3,84.4,0.001,-0.049
43,0.075639,0.115174,-0.022766,0.084758,0.9,84.0,0.014,-0.074
44,0.107904,0.094455,-0.049495,0.092528,2.5,83.9,0.012,-0.095
45,0.125552,0.089405,-0.06144,0.077811,4.0,84.0,0.013,-0.109
46,0.125696,0.093242,-0.04111,0.079126,5.0,84.2,0.014,-0.122
47,0.089564,0.07321,-0.075194,0.049407,5.2,83.9,0.007,-0.121
48,0.089854,0.080091,-0.077709,0.048422,4.8,83.8,0.01,-0.119
49,0.086674,0.077518,-0.026337,0.100527,3.7,83.8,0.015,-0.113
50,0.065256,0.082789,-0.033086,0.103792,2.5,83.7,0.016,-0.103
51,0.077171,0.096951,-0.056224,0.069827,1.1,83.8,0.011,-0.096
52,0.065172,0.101315,-0.051213,0.054167,-0.2,83.6,0.008,-0.084
53,0.075416,0.101194,-0.044602,0.073553,-1.3,83.9,0.009,-0.074
