frame, confidence, gaze_0_x, gaze_0_y, gaze_1_x, gaze_1_y, pose_Tx, pose_Ty, pose_Rx, pose_Ry
1,0.98,0.00434,0.251635,-0.134591,0.166142,49.5,28.4,0.044,0.085
2,0.98,0.001631,0.195647,-0.136799,0.188419,49.8,28.5,0.039,0.083
3,0.98,-0.014095,0.196804,-0.13174,0.199505,49.9,28.4,0.042,0.084
4,0.98,-0.01812,0.193548,-0.127236,0.22088,49.9,28.4,0.045,0.085
5,0.98,0.031412,0.243126,-0.187608,0.151845,52.8,27.0,0.047,0.071
6,0.98,0.036328,0.239097,-0.155735,0.226215,52.5,26.7,0.044,0.069
7,0.98,0.076371,0.229808,-0.094861,0.250306,53.4,26.4,0.039,0.059
8,0.98,0.096876,0.221265,-0.10095,0.279844,54.3,26.2,0.045,0.052
9,0.98,0.064414,0.243705,-0.204338,0.159008,54.3,25.1,0.051,0.045
10,0.98,0.028456,0.1092,-0.156213,0.176824,54.2,23.8,0.054,0.044
11,0.98,0.014605,0.095391,-0.133504,0.173895,54.8,23.8,0.053,0.044
12,0.98,0.050391,0.092642,-0.139558,0.161868,54.7,23.8,0.053,0.043
13,0.98,0.0494,0.096582,-0.098371,0.150674,54.7,23.9,0.053,0.047
14,0.98,0.043905,0.076936,-0.137132,0.176852,54.6,24.0,0.051,0.05
15,0.98,0.049787,0.141829,-0.102926,0.136322,54.3,24.5,0.058,0.055
16,0.98,0.055688,0.11217,-0.097737,0.145053,54.1,24.9,0.06,0.062
17,0.98,0.037327,0.149177,-0.140336,0.12055,53.7,25.1,0.066,0.07
18,0.98,0.046342,0.120385,-0.112671,0.139176,53.7,25.2,0.061,0.072
19,0.98,0.038361,0.155021,-0.163395,0.141198,53.5,25.4,0.063,0.072
20,0.98,0.031621,0.154974,-0.203647,0.090024,53.5,25.8,0.068,0.078
21,0.98,0.061818,0.158053,-0.192684,0.081721,53.6,26.0,0.068,0.08
22,0.98,0.058001,0.16239,-0.174666,0.164161,53.1,26.0,0.068,0.075
23,0.98,0.033371,0.15582,-0.169182,0.130619,52.7,26.1,0.07,0.077
24,0.98,0.066409,0.157978,-0.142112,0.149861,52.7,26.2,0.063,0.075
25,0.98,0.044294,0.146844,-0.12911,0.134286,52.3,26.0,0.056,0.072
26,0.98,0.030745,0.132982,-0.145408,0.103386,51.9,25.9,0.048,0.075
27,0.98,0.03819,0.128979,-0.148848,0.102672,51.7,26.1,0.045,0.077
28,0.98,0.048841,0.122394,-0.149362,0.095719,51.5,26.4,0.047,0.08
29,0.98,0.044732,0.122621,-0.14593,0.097129,51.3,26.2,0.053,0.081
30,0.98,0.046489,0.11469,-0.174748,0.106005,51.1,26.1,0.043,0.085
31,0.98,0.020539,0.116001,-0.150676,0.105514,51.0,26.2,0.044,0.085
32,0.98,0.007306,0.155566,-0.128659,0.104019,50.9,26.1,0.043,0.085
33,0.98,0.029366,0.144231,-0.153687,0.102373,51.0,26.0,0.036,0.081
34,0.98,0.052311,0.122661,-0.14749,0.108749,50.8,26.0,0.038,0.083
35,0.98,0.048656,0.120444,-0.12933,0.097651,50.9,26.0,0.041,0.084
36,0.98,0.052317,0.133733,-0.128784,0.099302,51.0,26.1,0.041,0.084
37,0.98,0.040999,0.134842,-0.156565,0.075236,50.9,26.1,0.039,0.088
38,0.98,0.045677,0.117974,-0.158742,0.077666,50.9,25.9,0.047,0.091
39,0.98,0.032788,0.110368,-0.169028,0.087795,51.1,25.9,0.042,0.09
40,0.98,0.035545,0.116976,-0.163194,0.108359,51.1,25.7,0.037,0.088
41,0.98,0.028352,0.103167,-0.157937,0.120766,51.1,25.5,0.036,0.085
42,0.98,0.028086,0.097949,-0.16214,0.118747,51.3,25.2,0.038,0.086
43,0.98,0.03531,0.084296,-0.171664,0.127652,51.3,25.3,0.037,0.083
44,0.98,0.029672,0.087649,-0.149169,0.117721,51.2,25.6,0.036,0.085
45,0.98,0.02657,0.083821,-0.145594,0.099532,51.3,25.6,0.037,0.086
46,0.98,0.03127,0.089946,-0.161517,0.110704,51.1,25.3,0.04,0.084
47,0.98,0.025581,0.086723,-0.154339,0.097653,51.2,25.3,0.04,0.087
48,0.98,0.032913,0.091334,-0.142947,0.097056,51.3,25.6,0.042,0.082
49,0.98,0.029687,0.075333,-0.137853,0.079804,51.3,25.5,0.037,0.081
50,0.98,0.023925,0.068594,-0.144378,0.102082,51.3,25.3,0.039,0.079
51,0.98,0.025648,0.086927,-0.15831,0.075177,51.0,25.1,0.039,0.08
52,0.98,0.037857,0.102802,-0.136717,0.084911,51.0,25.3,0.041,0.081
53,0.98,0.036716,0.10433,-0.134583,0.087094,51.0,25.2,0.043,0.082
54,0.98,0.024468,0.117825,-0.174509,0.100676,51.1,25.5,0.033,0.085
55,0.98,0.036412,0.10937,-0.154592,0.095215,51.1,25.5,0.028,0.088
56,0.98,0.035977,0.119071,-0.150424,0.112934,50.9,25.3,0.027,0.086
57,0.98,0.032708,0.117279,-0.145406,0.100922,50.9,25.7,0.03,0.086
58,0.98,-0.001055,0.138041,-0.147966,0.101368,50.7,26.0,0.039,0.088
59,0.98,0.004867,0.140245,-0.166244,0.094826,50.7,25.8,0.039,0.087
60,0.98,0.010574,0.135091,-0.167779,0.087892,50.7,25.7,0.039,0.085
61,0.98,0.011317,0.145206,-0.156486,0.086736,50.6,25.9,0.035,0.087
62,0.98,0.037646,0.090149,-0.154249,0.086759,50.7,25.9,0.03,0.083
63,0.98,0.049241,0.083141,-0.126328,0.108945,50.7,25.6,0.036,0.085
64,0.98,0.038955,0.084248,-0.131528,0.109476,50.6,25.4,0.036,0.086
65,0.98,0.040082,0.082422,-0.132103,0.108509,50.6,25.3,0.037,0.086
66,0.98,0.02707,0.088091,-0.11481,0.111388,50.6,25.4,0.036,0.085
67,0.98,0.019091,0.091571,-0.153384,0.105127,50.7,25.2,0.034,0.085
68,0.98,0.029981,0.088835,-0.143406,0.102588,50.8,25.2,0.033,0.081
69,0.98,0.041631,0.098546,-0.149819,0.110886,50.7,25.3,0.034,0.083
70,0.98,0.041799,0.103027,-0.1756,0.127493,50.7,25.4,0.039,0.087
71,0.98,0.045257,0.112431,-0.159834,0.114402,50.7,25.4,0.039,0.085
72,0.98,0.045555,0.083556,-0.164145,0.122838,50.7,25.2,0.036,0.082
73,0.98,0.046222,0.082115,-0.146884,0.127457,50.8,25.2,0.04,0.083
74,0.98,0.036335,0.0916,-0.173793,0.127522,50.8,25.2,0.039,0.087
75,0.98,0.043939,0.100205,-0.16698,0.118096,50.9,25.3,0.037,0.087
76,0.98,0.046669,0.094618,-0.145933,0.118038,50.9,25.1,0.039,0.086
77,0.98,0.047049,0.084055,-0.166912,0.116304,51.0,25.1,0.037,0.086
78,0.98,0.048428,0.088365,-0.177304,0.124499,51.0,25.2,0.038,0.089
79,0.98,0.036729,0.102979,-0.160073,0.091849,51.1,25.4,0.033,0.088
80,0.98,0.015666,0.197705,-0.185687,0.102398,51.3,25.7,0.038,0.088
81,0.98,0.025793,0.220338,-0.232809,0.105951,51.2,25.8,0.034,0.087
82,0.98,0.002516,0.217196,-0.235102,0.101342,51.3,26.0,0.033,0.086
83,0.98,0.01372,0.21192,-0.222308,0.104781,51.5,26.2,0.036,0.089
84,0.98,0.013446,0.195635,-0.179523,0.097985,51.7,26.2,0.028,0.087
85,0.98,0.009287,0.205043,-0.216868,0.12532,51.4,26.1,0.033,0.086
86,0.98,-0.000839,0.196099,-0.192701,0.103461,51.6,26.2,0.033,0.088
87,0.98,-0.001288,0.203238,-0.177812,0.138078,51.4,26.3,0.04,0.091
88,0.98,-0.008465,0.200464,-0.159872,0.124522,51.1,25.8,0.043,0.09
89,0.98,0.04163,0.128759,-0.13831,0.14921,51.4,25.4,0.034,0.092
90,0.98,0.0234,0.127725,-0.159292,0.138158,51.2,25.5,0.033,0.093
91,0.98,0.026165,0.128747,-0.131397,0.132537,51.1,25.5,0.034,0.091
92,0.98,0.027246,0.114191,-0.130108,0.118665,51.1,25.4,0.034,0.094
93,0.98,0.033113,0.10856,-0.157233,0.135805,51.1,25.3,0.034,0.088
94,0.98,0.023313,0.096171,-0.137368,0.128104,51.3,25.4,0.035,0.089
95,0.98,0.01052,0.091709,-0.135876,0.140121,51.3,25.3,0.036,0.088
96,0.98,0.017259,0.086211,-0.140176,0.125418,51.3,25.1,0.035,0.085
97,0.98,0.028411,0.095739,-0.126359,0.135643,51.4,25.3,0.037,0.085
98,0.98,0.016231,0.093461,-0.138153,0.136068,51.5,25.4,0.037,0.084
99,0.98,0.023506,0.08999,-0.166249,0.131154,51.5,25.2,0.038,0.085
100,0.98,0.033772,0.092395,-0.148606,0.121505,51.5,25.1,0.038,0.086
101,0.98,0.01844,0.088297,-0.175322,0.122061,51.6,25.3,0.039,0.084
102,0.98,0.004288,0.09572,-0.186186,0.146402,51.6,25.3,0.039,0.084
103,0.98,0.023231,0.101559,-0.185029,0.132387,51.7,25.1,0.037,0.079
104,0.98,0.00651,0.090907,-0.187942,0.13051,51.4,25.0,0.038,0.081
105,0.98,-0.002577,0.083469,-0.18014,0.134236,51.5,25.2,0.035,0.081
106,0.98,0.00931,0.080017,-0.185192,0.131698,51.5,25.2,0.036,0.085
107,0.98,0.012175,0.072337,-0.177788,0.137864,51.6,25.3,0.033,0.084
108,0.98,0.009405,0.074003,-0.157619,0.133947,51.5,25.3,0.038,0.082
109,0.98,0.008234,0.086217,-0.173737,0.109791,51.8,25.4,0.031,0.082
110,0.98,0.008271,0.095393,-0.150877,0.099946,51.8,25.4,0.038,0.083
111,0.98,0.017482,0.077835,-0.151867,0.090815,51.6,25.4,0.037,0.084
112,0.98,0.00817,0.077873,-0.14122,0.086133,51.6,25.4,0.035,0.085
113,0.98,0.021214,0.084739,-0.168742,0.107582,51.6,25.2,0.037,0.087
